ticker,Description,Sector,current_price,daily_daily_yearly_252d_pct_change,atr_pct,daily_rsi_14,daily_price_position_52w,market_cap_billions,in_sp_500
C,"Citigroup, Inc.",Finance,96.57,61.64,1.89,64.83,0.99,176.210742262,True
PDD,PDD Holdings Inc.,Retail trade,120.22,34.82,3.47,61.85,0.48,172.08257199,False
QCOM,QUALCOMM Incorporated,Electronic technology,160.73,-4.42,2.06,74.44,0.72,171.744428024,True
GEV,GE Vernova Inc.,Producer manufacturing,612.97,233.79,3.63,36.01,0.89,170.387677716,True
ISRG,"Intuitive Surgical, Inc.",Health technology,473.3,-1.85,2.01,51.21,0.14,170.011069085,True
ANET,"Arista Networks, Inc.",Electronic technology,136.55,60.1,3.27,47.71,0.94,168.75931678,True
SPGI,S&P Global Inc.,Commercial services,548.44,9.32,1.42,43.26,0.88,168.623291494,True
ACN,Accenture plc,Technology services,259.97,-21.53,2.16,79.57,0.14,159.089025566,True
APP,Applovin Corporation,Technology services,478.59,443.85,4.73,54.17,0.93,158.750832316,False
BSX,Boston Scientific Corporation,Health technology,105.5,32.67,1.6,62.47,0.92,157.643550427,True
AMGN,Amgen Inc.,Health technology,287.71,-10.49,1.9,53.73,0.45,155.898825241,True
HPQ,HP Inc.,Technology services,28.54,-14.7,2.43,73.86,0.42,25.369760925,True
LULU,lululemon athletica inc.,Consumer non-durables,202.2,-21.88,3.03,64.24,0.07,25.308438499,True
VRSN,"VeriSign, Inc.",Technology services,273.37,51.72,1.89,59.95,0.75,25.219384902,True
NTRS,Northern Trust Corporation,Finance,131.28,52.62,1.79,68.08,0.98,25.217933233,True
FE,FirstEnergy Corp.,Utilities,43.62,3.86,1.22,54.08,0.95,25.169037426,True
XLF,,Financial,53.99,22.03,0.98,75.59,1.0,,False
XLE,,Energy,90.39,4.01,1.43,90.39,0.76,,False
XLK,,Health,262.45,20.43,1.37,46.98,0.93,,False
XLV,,,137.43,-10.28,1.18,75.72,0.35,,False
XLI,,,152.01,19.39,1.04,56.41,0.92,,False
XLB,,,92.28,1.45,1.17,75.53,0.83,,False
XLRE,,,42.31,1.0,1.14,66.93,0.76,,False
XLP,,,80.78,0.67,1.02,37.4,0.69,,False
XLY,,,231.74,26.98,1.21,66.61,0.9,,False
XLU,,,84.32,15.26,1.13,36.5,0.8,,False
XLC,,,111.39,29.57,1.01,69.74,0.99,,False
VGT,,,697.02,23.0,1.41,51.08,0.95,,False
SPY,,,645.05,16.98,0.8,61.04,0.97,,False
QQQ,,,570.4,21.7,1.1,47.47,0.94,,False
